,TNF,LTB,TNF.1,LTB.1,TNF.2,LTB.2,TNF.3,LTB.3,TNF.4,LTB.4,TNF.5,LTB.5,TNF.6,LTB.6,IFNGR2,TNFRSF1B,PLA2G2A,CSF3R,JUN,LEPR,CSF1,HAX1,IL15RA,IL2RA,MAP3K8,FAS,DNTT,CD44,CBL,CD9,TNFRSF1A,LTBR,A2M,ACVRL1,ACVR1B,STAT2,INHBE,PTPN11,IRF9,TNFRSF12A,SOCS1,IL4R,PIK3R5,CCL7,STAT3,ITGB3,GRB2,SOCS3,PTPN2,EBI3,TYK2,IL12RB1,TGFB1,REG1A,IL1R2,IL1R1,IL18R1,IL1B,STAM2,ITGA4,STAT1,PTPN1,IL10RB,IFNAR1,IFNGR2.1,IL17RA,HMOX1,CSF2RB,MYD88,CCR1,IL17RB,CD38,CXCL1,PF4,CXCL3,CXCL9,CXCL10,CXCL11,CXCL13,TLR2,PDGFC,OSMR,IL6ST,CSF2,IRF1,CD14,TNF.7,LTB.7,BAK1,PIM1,TNFRSF21,IFNGR1,IL6,CD36,IL7,CNTFR,CRLF2,CSF2RA,IL3RA,IL2RG,IL13RA1,IL9R
SRR8670614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005738097340869448,0.007535410544277189,0.0,0.2691635543654531,0.5707494399579424,0.4037601287187043,0.1961047868367757,0.26375314989682086,0.0,0.03269392000808698,0.29150686784145474,0.0,0.41467529731123237,0.14318685098815076,0.5554272189467888,0.7659325558467175,0.669171411161705,0.0293288533389084,0.19531486159388647,0.10081292096399617,0.9251864053282153,0.03521252550636816,0.6666680675012502,0.3493851481835083,0.34030612030909135,0.005438857395863091,0.08037059578964975,0.0,0.002872914660020772,0.5557695702524326,0.18746573271266584,0.14727855902260237,0.049442261355226065,0.07670285353417589,0.062035705411026425,0.10605133296863736,0.0003259745127395939,0.11064916190324742,0.0,0.0,0.4470110947926284,0.0,0.004992831632525773,0.6331514467985179,0.15192498042323524,0.7271897423979339,0.18913400243087983,0.3675715038973394,0.7596698425334505,0.3947277577040907,0.11691076954184118,0.32035843053066215,0.00022303959899266026,0.12155828954190948,0.0,0.07135440345188336,0.001147208127984414,0.05342960434516975,0.0,0.03417814286500124,0.0,0.0,0.0,0.0,0.0005420234909903136,0.5987623111927873,0.9455079736804428,0.7689443002639309,0.01284424510097702,0.024298159337519425,0.0009367283964391181,0.0,2.5968300409269322e-05,0.05659106411808802,0.02316255560480042,0.10497910448139539,0.21902342290745924,0.049704884961323345,0.04786816973464528,0.17114578653480322,0.0,0.04843185437184609,0.0026105465652175967,0.0271570515660325,0.0,0.717116158173759,0.0
SRR8670626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00971557561485876,0.014893462448944234,0.0,0.3473476759249022,0.4697093564984428,1.0,0.07796756572819388,0.2547699060027242,0.0,0.03619382829691649,0.9493341005133432,0.0,0.9999999999999999,0.12153176647202245,0.6899069560236442,0.8920547620629373,0.9999999999999998,0.007479664836154251,0.203017174736999,0.09234487536946683,0.804147553382929,0.0069432875662457615,0.3635169202740011,0.4941455799456241,0.49502119849586046,0.01268352044053834,0.1727315254271507,0.0,0.0,0.9130725593535625,0.14401112122940793,0.09374639044820529,0.02199603644687647,0.025007773271413902,0.03405869319719811,0.09573233319795488,0.0003221383318316396,0.10264817125910737,0.0,0.0,0.2941080398530157,0.0017136567082776093,0.002819471006579617,0.3516117008084534,0.25195352136637444,0.794596647139047,0.10282362826318273,0.4872327874848379,0.5018258840707661,0.004763168803281648,0.20404400372369114,0.3491246363597166,0.0004408295835649711,0.10940148724691308,0.0,0.028899965442846162,0.0,0.031101856567409495,0.0,0.013510369059350942,0.008244606178574566,0.00841854301778501,0.0,0.0,0.0,0.969946190690209,0.8283162304696854,0.7285390868329924,0.0,0.02134750295316827,0.0014834119005245829,0.0,0.0,0.07526321535768866,0.0,0.21674300857618092,0.288620192066074,0.03376995920983055,0.0710103516497459,0.08035814500040411,0.0,0.047861891544026966,0.0005159649499099384,0.021540960934272366,0.0,0.5652394349805432,0.0
SRR8757127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6881723176579879,0.0,1.0,0.9999999999999999,0.024816156747159847,0.009404379968931578,0.3223382354666118,0.8543212956050568,0.4413922295395856,0.28054652352332793,0.1020782699999406,0.28347063934850864,0.17588554581425256,0.08960622261810681,0.06574755175038122,0.48537060530515685,0.2128243647151596,0.04549253814867818,0.13903262252370668,0.0,0.5917209222684887,0.031067037495469508,0.0,0.824138797134857,0.004526212326484827,0.19436731645562402,0.6174810504398436,0.44133833911315573,0.0,0.328403991741393,0.05294078721507843,0.6518279757365688,0.41784806839454947,0.7387607596844765,0.3043844256328469,0.6197090749166013,0.8099496910304066,0.47094056617737845,0.0,1.0,0.017642864051248038,0.6023917629837907,0.25197768392264763,0.03578579057272521,0.2665588724909821,0.1751305338727742,0.42600547087881646,0.804598291651891,0.3620967465625248,0.5275180404038933,0.4260589932022601,0.4032771664352192,0.5951163486570757,0.48808557629284743,0.26396181323750545,0.03268309819474751,0.9798024708769308,0.10845429191952531,0.36568698371997993,0.08720321699319451,0.0982433354759837,0.225710954289759,0.0,0.24095004344623114,0.5805672680387706,0.008771811969804394,0.0,0.054267093071777364,0.07562589592902755,0.8432731316882931,0.5836742218347952,0.8621700769677908,0.9887487559358721,0.9999999999999999,0.46450850853418846,0.005747484898065827,0.4145411575368024,0.00812940051209606,0.43869710755626695,0.03767423071416146,0.0,0.09505430511434387,0.5851109715739734,0.555733906902699,0.869773509928283,0.23446454465337116,0.3163669833838188
SRR8670627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01205079308849111,0.0,0.0,0.23469069560199854,0.4484330618827469,0.41857152363890066,0.15331732035253523,0.17792641085576008,0.0,0.08778679307264317,0.8059382388947975,0.0,0.6473411155714933,0.1484799298521733,0.45016991954830976,0.7096948033343767,0.7184298702378589,0.08111174338379538,0.1503197844774085,0.11401624055174599,0.5198605884504737,0.0,0.6441733031790164,0.26396356346592553,0.5977549125128679,0.013392311515904148,0.2014109954295707,0.0,0.00572802119025678,0.6919057632887624,0.26706538626549486,0.19804540961747616,0.13237509697230004,0.08614204821048316,0.06871493030556326,0.10665389760743832,0.00032496421533845883,0.13929551483771316,0.0,0.0022475158444504955,0.5437461941870071,0.00605041276955473,0.0007110510398693633,0.547809804049621,0.21655938503454317,0.5679737034899596,0.21517738229413544,0.37136303021095,0.647128204924446,0.2673655792740612,0.10297301203125561,0.6469358161287356,0.0008893933168812637,0.1614579580255674,0.0,0.06411642671354525,0.0003812175232220918,0.039400773943166136,0.0,0.02044332843909831,0.0,0.0,0.0,0.0,0.0002701717949731053,0.9063780548427894,0.7000973893071673,0.6536355830370741,0.0,0.036501635226178074,0.001008774240233586,0.0061752683244570734,5.1775632979704565e-05,0.11834323831566747,0.03585533068991064,0.006547301015153112,0.17229727347413443,0.04645390679146497,0.0009960497862949473,0.0985265135037312,0.0,0.0,0.002602455661458852,0.005100885589295735,0.0,0.6903811447636725,0.0
SRR8757131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9662852093468447,0.0,0.3579646169205693,0.1422418056586419,0.10168811353497684,0.0,0.21849241789293652,0.9778911044232766,0.3720367326761406,0.9999999999999999,0.10745927379969805,0.47980883418108683,0.2201888504177377,0.2683794420171227,0.018844024707084506,0.29197688653506704,0.25717392108186415,0.051563639723148716,0.15443516194819168,0.1693934389466134,0.6963889933144822,0.016519823406245318,0.16044193358783893,0.8819569475186265,0.0080163863195127,0.24497668896152117,0.7004072523016047,1.0,0.0,0.7670812590106961,0.23553744742898272,0.7114478397495189,0.19776849612502498,0.8183867573145489,0.24329265875101938,0.8077530798692457,0.9143655634152237,0.5352285792123821,0.0,0.1708537830105619,0.006582837337569211,1.0,0.05183197924071139,0.11074490907101175,0.7789077490469284,0.21807271835613276,0.9999999999999998,0.5958112268360286,0.2546046159301971,0.4255192908205167,0.6857158531088546,0.629219945627426,0.5311610993086259,0.6494016235935972,0.2735496366070057,0.035618432307871706,1.0,0.0022794560586860023,0.20508044938342673,0.1277326238627259,0.2165220027335819,0.1282321869353815,0.1385127561276953,0.2548984431587025,0.4870079526575235,0.004262664192856037,0.007427100527674529,0.2211917529380707,0.01333396946733541,0.8813091503105229,0.4338469332206944,0.5583946942816183,0.40526589363811727,0.441692398002486,0.22837529890253896,0.05332875239734775,0.9417732874119108,0.003225001806457324,0.33328940322737355,0.06842689773117536,0.00022328043259291246,0.1005569206074257,0.4531255898829506,0.7163864430788269,0.8210284047700045,0.3029583770482834,0.2928460567207888
SRR8757130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8703624466409902,0.03836194519044408,0.7003300349985695,0.13904781271127903,0.13947379731887777,0.021723068810324975,0.275651101668162,0.8803516871579915,0.7670078204156596,0.2605354901910047,0.1400845856523457,1.0,0.24497362069078246,0.2924985455620003,0.04603632265794958,0.6956347655027376,0.3971559808088378,0.020229091666536594,0.16486241657063258,0.18905043937649652,0.9035887754878036,0.043053930906789564,0.1425758143494688,0.9808149051696988,0.0025852620141860873,0.09524869167329987,0.6584214755208684,0.6850889201580104,0.011700553707268422,0.8241962477467326,0.4851550915039747,0.9423413480252048,0.26499499646759855,0.9195410543461221,0.0912360060808394,0.8557828424775445,0.7564002568429139,0.40331579544088986,0.3273784857327599,0.22495758476633876,0.030760964203559338,0.718593313328478,0.2846811068666125,0.18056882661287255,0.7244040486502317,0.3636579655871284,0.6970554965028777,1.0,0.4466225999485616,0.9383120045197411,0.8482360818692158,0.7524686087928196,0.9522051710622458,0.9034891230293691,0.9391716210419506,0.07297910347420516,0.5003199101441825,0.026827814604580967,0.6588457214458975,0.1391977289724818,0.41622765531525174,0.48572437654630746,0.33962731002601654,1.0,1.0,0.015662509513028753,0.005369962579107928,0.1770788938237345,0.05231090979646955,0.5225560722476569,0.7747605384689286,0.40575482246036276,0.5401763809020235,0.5419109113452206,0.4865601882216423,0.06732509719616503,0.946515607753002,0.005271710317406343,1.0,0.08865443719367538,0.0008759584006321113,0.9862449468239554,0.8755455332597583,0.9999999999999999,0.6673798127308778,0.5630039623834938,0.8411394985927273
SRR1182244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012786043002184578,0.0,3.082199536055534e-05,0.3121333748195929,0.25882102545692587,0.09192800509034361,0.15369363010251727,0.05973223618941069,0.0,0.009087502998390128,0.10799095847922599,0.0,0.5144856988512797,0.17589793767356887,0.33542869087037597,0.8277639528919956,0.6718458456801263,0.006434762110205826,1.0,0.17243316629516053,0.4062868504251978,0.03245335929806214,0.4878421352969096,0.171514783758694,0.601067251169579,0.11463960245385943,0.20742574975901434,0.0002062688066086477,0.03070552140782355,0.2718999495057832,0.20465186443603037,0.10760269998300967,0.10293931451462587,0.005682271313605547,0.0803676977423394,0.26858008870938327,0.0,0.4601015253747622,0.0,0.0,0.18474403653321597,0.0016848689648726294,0.011781453360489696,0.19295053280400776,0.08544263310141761,0.6971044387787171,0.30029080954940246,0.1924806295841703,0.26525503508979126,0.25476432993686754,0.19709557619053028,0.12067120819392163,0.0,0.18777905461314173,0.0,0.029468608955675275,0.0003715540730395922,0.0056891862393984305,0.0005452953458014881,0.0199251122661742,0.0,0.0,0.0,0.0,0.0,0.2764881640654106,0.27933557058797953,0.3154940109977399,0.0,0.013711829667345583,0.0018236661584446127,0.0,0.0,0.23899446890726644,0.01988567751572929,0.10398626698489923,0.03201682981852144,0.13180448761304636,0.0004841807128308233,0.0150619994550046,0.00041795627945777895,0.09411571789507783,0.008116755958097093,0.01966120178034096,5.376694599729494e-05,0.480064302472728,0.01957769411630726
SRR1028349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005969530576565812,0.18291780175666156,0.0,0.14613425624356044,0.24684882560386043,0.012870156406791,0.1890045586498668,0.07793897524020621,0.0,0.011205355208783577,0.01521675215367346,0.06678164940450147,0.031428215282418494,0.9999999999999999,0.7788590055562429,0.15680163267453157,0.09532344040784352,0.045931691653169626,0.215241279221448,0.34010664199273904,0.11449310850092753,0.7348561264705078,0.9592850971528089,0.01739215703333783,0.11292441531150006,0.41919573146690126,0.12120054885842108,0.027729414127062958,0.6243244381383545,0.620478356902264,0.20401665552148862,0.3193933579861099,0.02935081981052603,0.4671549922718886,0.167320159746404,0.023491765685336667,0.00037680217856660196,0.037555447566287654,0.0,0.0,0.0636345701453599,0.0030066722143380635,0.9283613082546921,0.26196110388754884,0.017268407094640087,0.13214933354007014,0.6415818467621275,0.024941223881977104,0.16315245553822844,0.041581372169328334,0.09440325221073945,0.11084293722900486,0.0,0.12975042618817426,0.0010008419669215018,0.20636121974055227,0.0035362316582025644,0.9907081903690266,0.004541073437787879,0.9086697220624875,0.0,0.0,0.0,0.0,0.01409711970045353,0.029535287876183394,0.06907029963076586,0.0718451273007966,0.5196445646611765,0.01270163790509746,8.82353965387689e-05,0.0,0.0001200696592583164,0.5688740293841045,0.17669493844636702,1.0,0.12955647060468395,0.18433521792978907,0.001335649626593559,0.0808225446046851,0.027845022678676133,0.11196720925178948,0.034400603047842045,0.023346038651942395,0.00012793048872070947,0.2915506164909154,0.09316445001171288
SRR1182253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012412465244821978,0.0,0.0,0.260808149233237,0.3719465004780291,0.06744086205468018,0.3611836883431224,0.06643481857178701,0.0,0.026149075750941553,0.16556974999354684,0.0,0.4560659035752953,0.10433176567025691,0.5221351191954594,0.7216295712429405,0.5331185397132078,0.004980555391519976,0.8930804802474971,0.13405256208701433,0.4038721493522513,0.060587471560306,0.6006470900902208,0.2487235600399418,0.9238944127944207,0.046117099986157574,0.208373338453605,0.0,0.13749104878641502,0.11677455442787321,0.09263503550524195,0.22484979267534225,0.08852901064672158,0.11734009258685665,0.10556036742118302,0.18873675666913117,0.0,0.17528436910913014,0.051292856138416804,0.0,0.2168094125211416,0.0,0.020481031748681853,0.28905923893930846,0.07292535730021442,0.7654867103943486,0.258799482653312,0.28771197196265835,0.27363765615882923,0.40323908945909276,0.14369202593248115,0.1388576493227534,0.0,0.17177611182961328,0.0,0.03678113416787313,0.0,0.012609948072252197,0.0010743416572739797,0.019628242106072013,0.0,0.0,0.0,0.11750815579010118,0.0005187998048128117,0.3381026991769622,0.23757172850471212,0.30292045881189494,0.0,0.01698937371030049,0.001831907239222582,0.00197635236850807,0.0,0.2734479881345874,0.018615651877790608,0.06853953835247467,0.14926151108620633,0.22994687693419566,0.0004734393853172619,0.06331397145793446,0.0,0.09271345988687178,0.009495038628044617,0.025327927805124037,0.0,0.7443692095493187,0.0
SRR8670616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012704579655568695,0.0,0.0,0.22542656278979567,0.4397339082081615,0.2399806511238054,0.15470102654182524,0.2367819701785878,0.0,0.08944028259388866,0.36396174492737626,0.0,0.5853234029850006,0.1526759995464635,0.4195842924310171,0.6887906756052697,0.5545946756810083,0.05648147246759003,0.18886286776810032,0.09721846571737687,0.6781075142654265,0.008842684470627572,0.7736374974224645,0.31842456154963533,0.43956767819538883,0.01808892784017356,0.1602372024625473,0.0,0.0028825601600665136,0.5276968220530234,0.3070736142261979,0.17615735023719634,0.16970481735750148,0.1135437661160176,0.0414959890520275,0.13357628072169306,0.0003270689368870628,0.16038761374101196,0.0,0.0,0.6819203440894183,0.006089599958583368,0.001431312721250189,0.779457475204961,0.21544268565547742,0.5624840550902952,0.27873843284796496,0.350923900894227,0.7103904674924575,0.32954073660325206,0.0762289452535366,0.4678585621838318,0.0008951537212300075,0.1576531885617083,0.0,0.09967868942850595,0.0,0.07490570990198468,0.0,0.048010049192969244,0.0,0.0,0.0,0.0,0.0002719216381000238,0.9054009787871985,0.7686187187547681,0.6570395950368086,0.0,0.04716959979513504,0.0013934151136472711,0.00414350945025111,2.605548616743709e-05,0.11183587674479963,0.03629185194993857,0.002040676317962781,0.16679789147003343,0.03013085725547443,0.0011281125564703955,0.11670933509399403,0.0002158019911458683,0.0,0.000523862238556035,0.010426493810819658,0.0,0.9999999999999998,0.020216972827037768
SRR1182246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006266088254857336,0.0,0.00015745831517567624,0.12855352491822142,0.02885299360387985,0.03958287518012754,0.9999999999999999,0.03740550529846959,0.0,0.0,0.04113169320533849,0.0,0.27029201326957986,0.0,0.38100739675853246,0.3332416518547303,0.5448150130305658,0.0,0.755495240539862,0.0328451104341627,0.14858928226197304,0.06640052286327237,0.12654317137037646,0.26747558580951986,0.7344652823474198,0.11208992751299884,0.10197230884684151,0.0,0.022816478879785173,0.04538263615401894,0.02164559914773958,0.0065869754865619246,0.14828683079996696,0.03396260167167764,0.834824060019962,0.054492956695948065,0.0,0.2579103789617562,0.0,0.0,0.07928877467157042,0.0,0.023366772587207627,0.0,0.008495216415922109,0.4568855816009477,0.0,0.40595888989017964,0.21133724533557763,0.24133770486154066,0.09920738855750943,0.24546226012629027,0.0,0.11495912674128245,0.0,0.0,0.0022777608387682625,0.4853683702369777,0.0016714288368154296,0.14929217603462291,0.0,0.0,0.0,0.0,0.0,0.1926812489969144,0.09629217980959447,0.08745371195540519,0.0,0.018816280015221946,0.00021933441014761174,0.0,0.00018045855584142563,0.1646415162231692,0.04339162967326781,0.0053450479781768645,0.013272031701348122,0.006168008974279285,0.002709620469496863,0.005054501873318306,0.00021351859544024618,0.14424084681687904,0.004664873382681432,0.02299438576391743,0.0,0.5131600804296146,0.0
SRR6517764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.704119771208567e-05,0.12639875065389866,0.3297014207902456,0.007596446217277706,0.0,0.0,0.0,0.009119586713116967,0.011996246648817259,0.0,0.008672333665212084,0.6898638304618985,0.007002028861882677,0.007623651593417158,0.0004947085694262951,0.5529402021937966,0.0,0.8736617554128993,0.3441820647654445,0.017565899887110256,0.8340518245598443,0.07961318720462662,0.0160475454690279,0.0,0.0019435432570387094,0.0002912511628114086,0.0,0.6851334839697516,0.07913892878210656,0.11913577726568894,0.026248312130597383,0.3845717905607057,0.0,0.10180259897966029,0.0,0.0,0.0,0.0,0.0,0.014274190652638439,0.013699732733891742,0.8353811141757005,0.00831159770305585,0.009204750070205589,0.31612472524225976,0.12043943423578703,1.0000000000000002,0.06709401351972177,0.008096405773522171,0.0021029444357000427,0.0,0.032359296327065405,0.000791917000511497,0.8173288010055051,0.005246336448022142,0.0,0.0,0.056268441283819234,0.045783218961118415,0.011687277414125119,0.0,0.0,0.00446174285971374,0.20061003208354583,0.023424797896327454,0.20843482371651662,0.0,0.0029278570292517675,0.0007842573557300497,0.0,0.00042752345924442446,0.016386549914432932,0.014239046815631184,0.5100535757892325,0.07663306817815967,0.008524016150261285,0.01096069847104296,1.0,0.3151419540765243,0.2657824295050006,0.02435429346336903,0.6020997201812147,0.00045551295321860646,0.019587867347804613,0.0
SRR5874665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002510042574852068,0.10712811324901969,0.0,0.015846873868086787,0.07184468876750372,0.007966738208445928,0.19688240249577063,0.010843493004235864,0.0,0.03653696334694994,0.006605069315966796,0.0,0.0014612703271401455,0.49423680675885767,0.4883363369335258,0.2860919202625348,0.07724843595552468,0.005690484763010065,0.002213406404095895,0.3338903507154143,0.02854389564748233,0.6855054458314491,0.5365289572420953,0.015059200082001588,0.10817402223182114,0.4914627655895443,0.231231546550177,0.024608862552637722,0.0,0.6009904492912147,0.0,0.1989854470439916,0.10922834285273733,0.49294362963602334,0.17337251005237966,0.04682741910173401,0.00071296272674338,0.014789003164765094,0.29302075106311753,0.007396483747554036,0.0009471058466241375,0.007585395705558046,0.0,0.03349415061786851,0.00649134439948682,0.07081611891734182,0.3313746904026168,0.003460377698831899,0.03996756452962999,0.10007038376234118,0.04425074608764786,0.22548929547666507,0.0,0.1003256092856906,0.0,0.41265237571438035,0.004600095321438309,0.0064032767188685735,0.012274785340995546,0.47842252160905174,0.0,0.0,0.29182472169152285,0.0,0.011262243041802528,0.0005271651403013144,0.02265647721113664,0.0009218965977848877,0.0,0.011104489391443383,4.001191294014237e-05,0.0,0.0001419929284737834,0.5835823394592594,0.08501194129112984,0.6943485835906973,0.08751233997357054,0.003397287300226806,0.0007099058379709936,0.018652840707949286,0.011290007116546468,0.0,0.022838870214554923,0.04671417682489197,0.00030257810085819226,0.07528941914456522,0.06610509183682683
