"","ENSG00000228978.2","ENSG00000231314.7","ENSG00000204490.3","ENSG00000204487.8","ENSG00000228849.3","ENSG00000236925.7","ENSG00000228321.3","ENSG00000223448.7","ENSG00000223952.3","ENSG00000236237.7","ENSG00000206439.5","ENSG00000206437.10","ENSG00000230108.3","ENSG00000238114.7","ENSG00000262795.5","ENSG00000028137.18","ENSG00000188257.10","ENSG00000119535.17","ENSG00000177606.6","ENSG00000116678.19","ENSG00000184371.13","ENSG00000143575.14","ENSG00000134470.20","ENSG00000134460.15","ENSG00000107968.9","ENSG00000026103.21","ENSG00000107447.7","ENSG00000026508.17","ENSG00000110395.6","ENSG00000010278.12","ENSG00000067182.7","ENSG00000111321.10","ENSG00000175899.14","ENSG00000139567.12","ENSG00000135503.12","ENSG00000170581.13","ENSG00000139269.2","ENSG00000179295.17","ENSG00000213928.8","ENSG00000006327.13","ENSG00000185338.4","ENSG00000077238.13","ENSG00000141506.13","ENSG00000108688.11","ENSG00000168610.14","ENSG00000259207.7","ENSG00000177885.13","ENSG00000184557.4","ENSG00000175354.18","ENSG00000105246.5","ENSG00000105397.13","ENSG00000096996.15","ENSG00000105329.9","ENSG00000115386.5","ENSG00000115590.13","ENSG00000115594.11","ENSG00000115604.10","ENSG00000125538.11","ENSG00000115145.9","ENSG00000115232.13","ENSG00000115415.18","ENSG00000196396.9","ENSG00000243646.9","ENSG00000142166.12","ENSG00000159128.14","ENSG00000177663.13","ENSG00000100292.16","ENSG00000100368.13","ENSG00000172936.12","ENSG00000163823.3","ENSG00000056736.9","ENSG00000004468.12","ENSG00000163739.4","ENSG00000163737.3","ENSG00000163734.4","ENSG00000138755.5","ENSG00000169245.5","ENSG00000169248.12","ENSG00000156234.7","ENSG00000137462.6","ENSG00000145431.10","ENSG00000145623.12","ENSG00000134352.19","ENSG00000164400.5","ENSG00000125347.13","ENSG00000170458.13","ENSG00000232810.3","ENSG00000227507.2","ENSG00000030110.12","ENSG00000137193.13","ENSG00000146072.6","ENSG00000027697.13","ENSG00000136244.11","ENSG00000135218.17","ENSG00000104432.13","ENSG00000122756.14","ENSG00000205755.11","ENSG00000198223.16","ENSG00000185291.11","ENSG00000147168.12","ENSG00000131724.10","ENSG00000124334.17"
"SRR1182244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26130065800861,0,0.00293700122985583,45.2041458985208,0.633596408059661,5.43736068772263,20.2987575909632,0.211182026516263,0,0.756222763207449,5.79172430040501,0,81.3966492968639,4.48306819736651,19.5931714367425,39.2325159617699,16.6314480609988,0.0542894372071377,4.99540378644534,4.25507060323247,14.9938023335869,0.164218795134028,19.1547790991478,5.57890505490744,111.710035331638,4.28430079484768,7.2411461356919,0.00659631850958028,0.315545558552726,10.0434226662592,2.01698726563287,18.9501908297077,10.4764713807565,1.00869633135967,0.231364330527615,13.2131817318373,0,134.858181161487,0,0,4.2291034693506,0.0113742170303031,0.135934017193066,2.90851881664415,3.31186867717285,62.1046765933613,12.877277168099,4.99692012541897,8.2074669500911,21.3687626693554,5.42187816314896,5.92908375013636,0,10.1407061471013,0,0.285207181641184,0.00361137612931507,0.15281471213861,0.0409867274279053,0.0334691077509528,0,0,0,0,0,8.24166655253688,11.1598620305429,18.6735565449291,0,0.907835779305817,0.669435393260442,0,0,10.7440072476476,5.02271211062771,2.78203540474207,5.84476153381488,1.56744022281565,0.0146847157883073,0.160563571362619,0.0234542713088155,0.0246328192701043,0.10341925166143,0.405361131146628,0.00896955919074448,14.4051284730698,0.00988657482685894
"SRR1182246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10820130132739,0,0.0150040664114113,19.263342797045,0.155722942915128,2.64703135357227,78.8393619885159,0.132246353321626,0,0.491688381267706,2.45623375959923,0,42.9495042761373,0.775620771404481,22.2270039703788,17.1025617386805,13.4887135220765,0,3.77400378523426,2.04484593531183,8.1939006964202,0.327184196052382,8.29082366081937,7.96016422158423,136.406147450355,4.19155314019634,3.59195058803377,0,0.234473744207251,6.61624331995046,0.236014579292364,12.6308373395295,13.8588862561167,1.26816467840716,2.40331022513675,4.4403357125216,0,77.2173434899912,0,0,1.83195647256971,0,0.26960504527125,1.21323844861328,0.352148344158878,42.7525907987264,4.45662580334728,10.0107606159725,7.07714119039166,20.8588852826581,2.97838223620674,11.8633965140836,0,6.44869658912392,0,0.108235719892246,0.0221390417123477,13.0372648491101,0.125631730909059,0.25077278658849,0,0,0,0,0,5.79321088061749,3.86071527686245,5.77359737264676,0,1.12539655587331,0.0938796320755572,0,0.115346570745603,8.49608245080173,8.53041000234554,0.344756301157581,4.85020248622486,0.0733509574374787,0.0600150789671353,0.104396807838739,0.0119819304388239,0.0377520226214287,0.0594372575475758,0.443751844848373,0,15.3197915036674,0
"SRR1182248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872214175993402,0,0,35.6019775463983,1.21206399338019,3.7150992767561,25.6486566203395,0.781564334917472,0,1.2962551607501,14.4653904447754,0,118.529014654112,6.22905443473799,56.8288007811244,46.7000399458748,15.8566958262798,0.00773729103489728,2.7294583674106,3.16422296043811,6.09249165263904,0.0737236805474391,28.9490628391405,5.63080641292414,185.56485767013,2.70159675083636,12.5247077006038,0,8.58543440905867,9.97762839546935,1.118522795561,27.4520660939231,7.55195829338545,2.32664734939628,0.384695217809846,5.79421541571092,0,59.1655304670082,0,0,22.7099224934114,0,11.1441582292632,6.1734768242569,6.57056121137707,59.211820164379,18.634613503183,7.82519809346263,15.6157075076709,23.3374054238337,5.01547028823866,11.4296228318151,0.034576406176749,7.90020669009986,0.0271300984804747,0.235755614390511,0,0.914719740125634,0,0.0667798999100283,0,0,0.0388324417977863,0,0,4.63656438987336,18.9723380501079,57.3952182354035,0.345199190365074,0.918355630873665,0.523805577590501,0,0,18.4672487136214,8.85191837194471,2.50065802669116,20.768514239632,11.1848693598059,0.0195333132839483,0.320367644831737,0,0.0245745601824797,0.103174654760907,0.592160673870805,0,24.1381818705477,0
"SRR1182249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75436141587016,0,0,36.3507217025252,1.21888950839792,3.83003045792655,28.4637022247583,0.91772124965315,0,1.22112134649972,14.0159933088644,0,118.22500848295,6.2895527001609,57.9964016469644,46.940107368813,15.4948822182856,0.0116088799124184,3.0291437318137,2.98267828886489,6.0616861980661,0.114710364958795,29.5367989635626,5.93826335416636,180.759406626588,2.5812842008687,12.5069274207025,0,10.2765087217287,9.83438120282807,1.26498218071596,26.6732871802089,6.96655082872928,2.18803148765683,0.26935494575605,5.93063789068305,0,61.1488965644888,0,0.0160779020199325,22.7610225972561,0.0113501936382386,11.5379667545037,6.5277005190096,7.23820494749333,59.4635482123467,17.6245377074498,7.87606857030741,16.2077576796209,22.6923481950709,5.23545581105515,10.7751258128291,0,7.71642160471756,0,0.195157575670517,0.00720749714183115,0.800582755441592,0,0.211523313483055,0.0270478428324375,0,0,0,0,4.65540784232471,18.90139250543,56.8222238811186,0.345286735692362,0.918588533344226,0.628726102743405,0,0.0321872266496759,19.2313586316205,8.55542863409093,2.57688071491234,21.9268126437865,11.8921612700879,0.0561725178876327,0.429692833362014,0,0,0.032250256466875,0.361165152830793,0,24.4324756325435,0
"SRR1182252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00759700031728,0,0.00578694162870494,36.6042669408368,0.795808557461711,3.8622772598752,34.4728972135792,0.194629306365199,0,1.40198182651892,8.77387025772179,0,73.8146937965356,2.85023831839956,31.1757166380553,35.4052501331198,13.5071926415203,0.0993289008221493,3.90515393924619,3.36903435473165,14.532034440793,0.169874088019143,22.1178923725492,7.41185885998578,172.980238870226,1.63257418001838,7.51451356250855,0,0.932606212407694,7.80494379182695,1.03240013243444,26.8093544363472,9.39344768301696,1.9839681943681,0.189945992945304,9.40921720600686,0,53.7493426085383,0,0.0317462616260032,4.91018034656168,0.0112056354211702,0.181184918076896,3.84027683655635,2.79049679872624,66.0676535450223,11.3344877500778,7.13760909691063,8.93736743787568,26.3253595452349,3.78143877349955,6.16571801266512,0.0048778130988354,8.83484573554418,0,0.313092019181337,0,0.338737020752458,0,0.0549550822311333,0,0,0,0,0,10.6007184366787,9.41702138540148,18.488654470618,0,0.947542870205876,0.491402167963269,0,0,12.1724811508008,4.35021625038897,1.9402705789526,12.4743761668,2.6286909643313,0.00482235600478042,0.44579070183932,0,0.0242677268598776,0.171933359880621,0.470666176203415,0,21.1423966658122,0
"SRR1182253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19523083262189,0,0,37.9516202439362,0.86867109347942,4.13203976027161,34.651235426336,0.234878861269176,0,1.25287983213119,8.66422841274161,0,72.1987278366652,2.97464903288472,30.3822769099942,34.48298494474,13.1993435328279,0.0420204421785448,4.46129761262877,3.64735558300884,14.930085279925,0.299278293565798,22.5467290476851,7.49483429203741,171.475353515574,1.79170799689088,7.27393725578623,0,1.41292796201322,7.69639434320384,0.926866594507543,26.2849481470657,9.40162472643122,2.03314229623593,0.303889552951379,9.94136781630374,0,53.6622447339347,0.0141374705068685,0,4.95799473938463,0,0.236309463414226,3.75293836988541,2.83040175731265,67.6135679547019,11.7137916822222,7.23356361175147,8.38319916336107,27.0071060319639,4.08881274744217,6.79392163755229,0,9.32934833009659,0,0.329121988676193,0,0.338710230893724,0.0807521080276429,0.0329704415831656,0,0,0,0.0170420241959107,0.0116129222020706,10.0417621394375,9.49446230719325,17.9622861662762,0,1.0475305512446,0.672391889960819,0.0291015950171219,0,11.7856460449494,4.83319133636729,1.9061989962286,12.0655145025947,2.73456534405451,0.0144659238503301,0.431376237458989,0,0.0242658075864161,0.120980573332275,0.470628952399701,0,21.7096833810528,0
"SRR1182258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540216971056648,2.00665306418625,0.00339949288589416,12.8539742796329,0.0957664353858991,0.576471296296975,45.7538441608491,0.394253240715491,0,0.763903152285305,0.404246304282181,0.0871835462531498,2.31924241678973,2.59206931161707,46.8857378717854,7.44082360964045,1.52397209056647,0.206469137628335,0.227415282025412,3.1927666765058,4.27305460182828,4.80898465035229,13.5539896665158,1.68421576023986,27.5999455912659,36.490406395849,2.63013066076421,0.553540794378401,0.232422107469772,8.11308922041861,0.123903546920536,16.1317290703904,2.79835585877795,6.2185806897664,2.87882242526561,4.37451241745147,0,16.5749078837039,0.0166112032088127,0,0.194184332301241,0.0197479845177132,0.925527310568537,1.55850078928079,0.0253866951963566,5.94578438331631,12.1183475228063,1.12777578513657,2.64669377265315,11.6940625832851,1.66167182165182,9.75795950658227,0,5.77540178749118,0.0209844932517041,2.04673753822871,0.0167202483064636,6.61083590665538,0.474409363165595,0.477787311763168,0,0.0243659230741513,0.0300359806448657,0.0400479741931543,0.238786046126683,0.163943932974515,0.611111208096723,0.826448476478058,0.327686060758345,0.694405375837051,0.015193173666597,0.0170968529446312,0.616021330724211,23.0063662524948,26.1806400590357,9.25387258591639,4.14601676355313,1.17719558747809,0.0339942566903038,0.0760285760073164,1.34380778208668,0.0427676500525402,1.08482433488362,0.804331944847773,0.0207640040110159,3.29013527417003,0.0114434207408953
"SRR8670612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97738234823306,0,0,44.0823482474812,0.991426309635221,21.2208494981476,16.0840246461471,0.626018832910375,0,1.20672445729923,10.6740662408881,0,64.8982100590955,4.41770045586748,38.7021856530836,32.1733654391902,16.5700482686963,0.528522362650151,0.983905772085078,2.89304984219273,26.5236288135018,0.0763022786783935,19.4029752182205,8.1453788610779,73.1013402830783,0.208663374344995,3.97253431205494,0,0.029619076891381,14.7734355740507,1.51250079037052,19.2847699374762,5.8433758589205,0.956562232268576,0.199075259791759,9.1104222271416,0.00594724601146157,44.9414058965076,0,0,4.67342030885982,0.00587210276987407,0.0247686660438584,5.46985492827059,5.25395414405686,58.7322072976702,10.6457822891046,6.03061468389225,10.9246916713389,15.9239762266185,4.47803009014448,13.9444397192214,0.0357857687001666,6.38230591723058,0,0.445933824205029,0.00745769901014204,0.749481487327121,0,0,0,0,0,0,0,16.0734781382961,29.085111902053,27.6271812200797,0.0974381068256487,1.06518920260419,0.596339123923394,0,0.0333045776641848,4.37961971627587,3.27994712881223,3.0645075123727,10.9860739050075,0.840099520683327,1.82454099297509,0.550109736167486,0,0,0.00667395910111275,0.403598895114661,0.00926132730335574,14.72754400662,0.0102081722672771
"SRR8670613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907132740638093,0.121042097568291,0,37.2118754610905,1.31396413324435,21.9512374028237,23.3886822687867,0.919036440793091,0,1.27437059818324,13.4036406455487,0,64.300266930014,4.49953892762059,32.1791645518454,34.6101253229331,14.923208894583,0.215648896807229,1.06732892259282,2.69730827131695,27.618685011381,0.177573574728606,27.0772339938198,9.62931121503966,60.535622305092,0.60354307119128,2.94999039834054,0,0.0295417054464905,14.7753483459193,2.23381414272274,20.3912686748965,5.8374366741043,1.71289390075848,0.059566569626919,6.21835234816637,0.00593171051659407,32.8326222382149,0,0,10.6254044606168,0.00585676356543104,0.008234654974264,7.34809121268362,6.36313603724005,64.4080238907176,9.99969549703274,9.68095587932167,19.5103062150689,24.3403492661176,3.65375906168837,16.1977478049443,0.00509889836006427,6.72354108145852,0,0.50351201712287,0.0037191089424247,1.55406238597638,0,0.0919134449763725,0,0,0,0,0.0060701170953146,16.6240678697965,37.7442148607768,47.984628400325,0.0323945257945633,1.44487310882703,0.432568259602483,0,0,4.55258782148595,5.63499348492154,3.13451053567233,15.1023380054023,0.505207425719272,0.972899044480873,1.02218481274873,0,0,0,0.17890871438822,0,21.3717549058046,0
"SRR8670614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01482243493226,0.0151209546585752,0,39.1322831515719,1.28178351090835,22.0600020563287,23.2324171222315,0.932493545338468,0,1.44339821003572,14.9470085718903,0,65.6819719355475,3.79360795845606,32.3061098431469,36.4655507848879,16.5652827249318,0.247444569733921,0.975676599155148,3.12104210790691,28.686077189185,0.177464338505368,24.5319242134652,9.9927430670407,63.4350640515238,0.311985411424888,2.84442756338685,0,0.0295235325604857,14.3383354341703,1.84973599073829,21.4322378530549,6.48619267936746,1.66030092161022,0.178589779904434,6.55309088744663,0.00592806156344793,35.2359805155815,0,0,10.1908040043693,0,0.0576071253869168,6.77616280103349,5.86905855606285,64.52835549866,9.76025630099836,9.10917827245182,18.5723167589936,26.6838873848201,3.42029601941513,15.4250084495476,0.00509576171993984,6.78327769688658,0,0.536749094924539,0.0111504632821441,1.43514894118676,0,0.0574105646680919,0,0,0,0,0.0121327659998568,17.6570466891532,37.7245476646229,44.3246815555464,0.0323745979665809,1.35904402839785,0.351245505616214,0,0.0165985723776542,5.22937572525472,5.51170733564202,2.80656695562751,15.7669328985303,0.591098507871224,0.97985729562857,1.03657888760569,0,0.0126760241789548,0.0332621522189285,0.491696306309985,0,20.9564949049676,0
"SRR8670615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80978967353793,0,0,38.8880437335963,0.831992623753435,15.619757343925,18.5880974896871,0.82794810288651,0,2.25169741708491,14.766414671809,0,94.2084614612345,4.84114401851404,32.3536244086646,31.6226069892582,15.7494781002991,1.3020592667049,0.890406173386746,3.14131713015489,19.5419237889846,0.0253711392688218,23.0799877536038,8.64270467190389,94.6378503604291,0.832587590699295,7.58364186866913,0,0,13.1540949967821,3.91696554426195,23.9354588021182,11.4712998563109,1.25629479600081,0.25815726989654,8.92975698470007,0,58.468997102025,0,0,8.08894461199037,0.0234302733426749,0,6.18431027063767,7.91628675478446,48.3674175103312,12.5123791180213,6.95756634823459,14.1592579563745,19.9332298477682,2.66944480268337,19.5078215118109,0.0305975939581991,8.39279703917344,0,0.595904424794859,0,0.905021426232741,0.0422152234522614,0.0574537966768047,0,0,0,0,0,24.7548923048187,23.973233348208,29.8089452546919,0,1.87336211245545,0.594863085083404,0.0608544032581525,0.0332221432770891,6.10937492384174,6.49226744494315,0.212778817511816,10.2844888288125,0.258800335557508,0.022687291615076,0.691572976649547,0.0120786333326224,0.0126855696344109,0,0.328044379668801,0,20.5232031753017,0
"SRR8670616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24689329841545,0,0,32.9520150702733,1.00953329577832,13.3295111501312,20.3684410986416,0.837137523970553,0,3.09526715100035,18.5616542932474,0,92.5497119867396,3.9936132562008,24.456226606015,33.0134389694136,13.730661740076,0.4765284715083,0.943446284767694,3.06412782820861,22.1663720642107,0.0508743302330196,27.7484048457312,9.22445873477186,81.8114564239903,0.772147742740748,5.6081957529904,0,0.0296226546258312,13.9135981750199,3.0137309485671,23.2388406464694,15.4564272521136,1.99831149540124,0.119459583841553,7.68100607812756,0.0059479643885743,49.4154640353786,0,0,15.5306229145593,0.0411096844922229,0.0165144385930829,8.06162044697816,8.31221586764147,51.2596278513423,12.2729128502002,8.71818564449983,17.5392301416704,24.2084039495557,2.40479175528757,22.4392286231838,0.0204514807536739,8.61330851495917,0,0.706848413145411,0,2.01200910192393,0,0.0806446401958749,0,0,0,0,0.0060867502243077,26.6156294539252,30.6708068802047,37.9943700506129,0,2.33386560722782,0.515082362566018,0.0610127707448505,0.016654300288008,6.89960104540196,7.47093897199205,0.263110148778141,12.9959574800913,0.3583210136881,0.0278010736888795,0.731056026351108,0.0121100667655577,0,0.00667476525903194,0.298998256632659,0,28.7745130343176,0.0102094053283116
"SRR8670617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98293292839125,0,0,33.3348456841638,1.08269812848592,13.754952266262,21.4068132512877,0.834608413514245,0,2.85942667135681,19.1228289992078,0,89.406385201679,3.7340580909213,25.5180202747195,34.8483033886552,14.4359357825914,0.566912699828522,0.905197226345916,3.05487066614397,22.1369528740697,0.0507206317105358,26.6193943303976,10.0564614653434,86.4327732479917,0.873844026327231,5.36639170958083,0,0.0885994812324829,14.4384578113079,3.04522909720886,23.676645776238,16.6495946371968,1.91862276887698,0.198497799334457,8.1394706940675,0.00592999474977763,52.5248717235064,0,0,15.4980961161347,0.0117101389545345,0,7.60793184234575,7.63549006044377,52.5995491479145,12.3304416195333,9.10094079017147,17.146467355187,25.8659799910037,2.29598423989808,23.611350371794,0.0101948469738177,8.95786880000778,0,0.604039649534952,0,1.75027272505744,0.0843944285912061,0.091886858709488,0,0,0,0,0.0060683612939391,25.6921809576185,31.1359209919634,39.0782352658149,0.0323851555712125,2.00655085329019,0.594609314485656,0.0912426638468171,0,6.78657873822177,7.55966566835827,0.212688045350856,12.2131966858648,0.443468452220199,0.0176381435533178,0.713819621545313,0,0,0.0133091997047228,0.283190193717158,0,28.1512557391158,0
